Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,HP,,AMD Phenom,2,2.0 - 2.4 ГГц,,15.4,,,,Ноутбук,"Для работы, учебы",SSD,256 ГБ,Windows,Черный,,Самовывоз,"HP AMD Phenom, 2 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/hp-amd-phenom-2-gb-ozu-154-id-98913540,11 500 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
,Lenovo,Ideapad 330,Intel Core i5,8,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1050,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Серый,4000 - 5000 мАч,,"Lenovo Ideapad 330, Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-ideapad-330-intel-core-i5-8-gb-ozu-156-id-95733005,43 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
,,,,,,,,,,,,,,,,,,Самовывоз,Состояние идеальное Работоспособность 10 из 10 Windows 10стоит CORRE,https://lalafo.kg/belovodskoe/ads/sostoanie-idealnoe-rabotosposobnost-10-iz-10-windows-10stoit-corre-id-96426952,35 000 KGS
,Samsung,,,,,,,,,,,,,,,,,,Samsung NP300E5A Core-i3 . Ноутбук в хорошем состоянииб батарея,https://lalafo.kg/bishkek/ads/samsung-np300e5a-core-i3-noutbuk-v-horosem-sostoaniib-batarea-id-96819699,14 500 KGS
Б/у,HP,,AMD Phenom,2,2.0 - 2.4 ГГц,,15.4,,,,Ноутбук,"Для работы, учебы",SSD,256 ГБ,Windows,Черный,,Самовывоз,"HP AMD Phenom, 2 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/hp-amd-phenom-2-gb-ozu-154-id-98913540,11 500 KGS
Б/у,Acer,NITRO 5,,8,,,15.6,,,,Ноутбук,Игровой,SSD,512 ГБ,Windows,Красный,,,"Acer NITRO 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/ges-2/ads/acer-nitro-5-8-gb-ozu-156-id-97423672,62 000 KGS
Б/у,Dell,Latitude ,Intel Core i3,4,2.0 - 2.4 ГГц,4,14.3,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD + SSD,128 ГБ,Windows,Серый,4000 - 5000 мАч,Самовывоз,"Dell Latitude, Intel Core i3, 4 ГБ ОЗУ, 14.3 """,https://lalafo.kg/bishkek/ads/dell-latitude-intel-core-i3-4-gb-ozu-143-id-48578387,10 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,HP,,Intel Core i7,,,4,,,,,Ноутбук,Игровой,,,,Черный,,Самовывоз,HP Intel Core i7,https://lalafo.kg/bishkek/ads/hp-intel-core-i7-id-97882830,999 999 KGS
Б/у,Apple,a1932,Intel Core i5,8,2.0 - 2.4 ГГц,,13.3,4K (3840х2160),IPS,Другая видеокарта,Ноутбук,Игровой,Другой тип накопителя,до 128 ГБ,,Серый,4000 - 5000 мАч,Самовывоз,"Apple a1932, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-a1932-intel-core-i5-8-gb-ozu-133-id-96695819,70 000 KGS
Б/у,Dell,,Intel Core i7,16,,6,,,,,Ноутбук,"Для работы, учебы",,,,Черный,,,"Dell Intel Core i7, 16 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/dell-intel-core-i7-16-gb-ozu-id-94664353,82 000 KGS
Б/у,Apple,,Intel Core i7,16 - 24,,2,10.1 - 13.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Macbook Pro 13 Mid 2012, Процессор: i7, Оперативная память: 16/1TB",https://lalafo.kg/osh/ads/macbook-pro-13-mid-2012-processor-i7-operativnaa-pamat-161tb-id-95444852,50 000 KGS
Б/у,Acer,,,,,,,,,,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,,,Acer,https://lalafo.kg/bishkek/ads/acer-id-98016482,45 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Б/у,Apple,a1932,Intel Core i5,8,2.0 - 2.4 ГГц,,13.3,4K (3840х2160),IPS,Другая видеокарта,Ноутбук,Игровой,Другой тип накопителя,до 128 ГБ,,Серый,4000 - 5000 мАч,Самовывоз,"Apple a1932, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-a1932-intel-core-i5-8-gb-ozu-133-id-96695819,70 000 KGS
Б/у,Dell,,Intel Core i7,16,,6,,,,,Ноутбук,"Для работы, учебы",,,,Черный,,,"Dell Intel Core i7, 16 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/dell-intel-core-i7-16-gb-ozu-id-94664353,82 000 KGS
Б/у,Apple,,Intel Core i7,16 - 24,,2,10.1 - 13.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Macbook Pro 13 Mid 2012, Процессор: i7, Оперативная память: 16/1TB",https://lalafo.kg/osh/ads/macbook-pro-13-mid-2012-processor-i7-operativnaa-pamat-161tb-id-95444852,50 000 KGS
Б/у,Acer,,,,,,,,,,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,,,Acer,https://lalafo.kg/bishkek/ads/acer-id-98016482,45 000 KGS
Б/у,Acer,Extensa 2508 series,Intel Celeron,4,1.5 - 1.9 ГГц,4,15.6,HD (1366x768),,,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer Extensa 2508 series, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-extensa-2508-series-intel-celeron-4-gb-ozu-156-id-60354379,20 000 KGS
Б/у,Apple,MYD82 (A2338),Apple M1,8,Более 3 ГГц,8,13.3,2K (2560х1600),OLED,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,256 ГБ,Mac OS,Серый,4000 - 5000 мАч,Платная доставка,"Apple MYD82 (A2338), Apple M1, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/balykchi/ads/apple-myd82-a2338-apple-m1-8-gb-ozu-133-id-89569587,1 100 USD
Б/у,Apple,MACBOOK,Intel Core i5,8,2.5 - 2.9 ГГц,2,13.3,2K (2560х1600),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,512 ГБ,Mac OS,Серебристый,6000 - 7000 мАч,Самовывоз,"Apple MACBOOK, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-macbook-intel-core-i5-8-gb-ozu-133-id-83590121,550 USD
Б/у,Acer,E5-573,Intel Core i3,4,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Серый,,,"Acer E5-573, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-e5-573-intel-core-i3-4-gb-ozu-156-id-98681509,18 000 KGS
Б/у,Acer,e57,Intel Celeron,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Acer e57, Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-e57-intel-celeron-2-gb-ozu-156-id-57171639,10 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,fx,Intel Pentium,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Золотой,До 3500 мАч,Самовывоз,"Asus fx, Intel Pentium, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-fx-intel-pentium-2-gb-ozu-156-id-62177922,15 000 KGS
Б/у,Apple,Macbook Pro 15 late 2013 i7/16/256/dual graphics,Intel Core i7,16,2.5 - 2.9 ГГц,,15.4,2K (2880х1800),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,256 ГБ,Mac OS,Серебристый,Более 7000 мАч,Самовывоз,"Apple Macbook Pro 15 late 2013 i7/16/256/dual graphics, Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/apple-macbook-pro-15-late-2013-i716256dual-graphics-intel-core-i7-16-gb-ozu-154-id-95699067,580 USD
Б/у,Asus,Zenbook Q407,AMD Ryzen 5,8,,4,14,Full HD (1920x1080),IPS,NVIDIA GeForce MX3xx,Ноутбук,Игровой,,256 ГБ,Windows,Серый,,Самовывоз,"Asus Zenbook Q407, AMD Ryzen 5, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/asus-zenbook-q407-amd-ryzen-5-8-gb-ozu-14-id-99601834,600 USD
Б/у,HP,,,2,2.0 - 2.4 ГГц,2,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,,,,Хороший Ноутбук низким ценам Срочно продаю свои Ноутбук Hp 500гб,https://lalafo.kg/osh/ads/horosij-noutbuk-nizkim-cenam-srocno-prodau-svoi-noutbuk-hp-500gb-id-90444268,14 500 KGS
Б/у,Acer,e54,Intel Celeron,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Acer e54, Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-e54-intel-celeron-2-gb-ozu-156-id-63550292,16 000 KGS
Б/у,Asus,,Intel Celeron,4,,4,15.7-17.0,,,,Ноутбук,Для несложных задач,,,,,,Самовывоз,Продаю ноут бук для пользователей работае нормальнь от сети !! Есть,https://lalafo.kg/bishkek/ads/prodau-nout-buk-dla-polzovatelej-rabotae-normaln-ot-seti-est-id-87109584,7 000 KGS
Б/у,HP,,,,,,,,,,Ноутбук,"Для работы, учебы",,128 ГБ,Windows,,,,Ноутбуки и нетбуки,https://lalafo.kg/bishkek/ads/noutbuki-i-netbuki-id-97583143,8 000 KGS
Б/у,Asus,fx,AMD E1,4,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Золотой,До 3500 мАч,Самовывоз,"Asus fx, AMD E1, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-fx-amd-e1-4-gb-ozu-156-id-63550155,16 000 KGS
Б/у,Lenovo,ideapad,Intel Celeron,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Lenovo ideapad, Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-ideapad-intel-celeron-2-gb-ozu-156-id-48218880,17 000 KGS
Б/у,HP,15ur,Intel Celeron,4,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,1 ТБ,Windows,Черный,До 3500 мАч,Самовывоз,"HP 15ur, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-15ur-intel-celeron-4-gb-ozu-156-id-50777519,16 000 KGS
Б/у,Acer,aspire,Intel Celeron,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Acer aspire, Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-aspire-intel-celeron-2-gb-ozu-156-id-55672268,15 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Б/у,HP,,,,,,,,,,Ноутбук,"Для работы, учебы",,128 ГБ,Windows,,,,Ноутбуки и нетбуки,https://lalafo.kg/bishkek/ads/noutbuki-i-netbuki-id-97583143,8 000 KGS
Б/у,Asus,fx,AMD E1,4,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Золотой,До 3500 мАч,Самовывоз,"Asus fx, AMD E1, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-fx-amd-e1-4-gb-ozu-156-id-63550155,16 000 KGS
Б/у,Lenovo,ideapad,Intel Celeron,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Lenovo ideapad, Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-ideapad-intel-celeron-2-gb-ozu-156-id-48218880,17 000 KGS
Б/у,HP,15ur,Intel Celeron,4,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,1 ТБ,Windows,Черный,До 3500 мАч,Самовывоз,"HP 15ur, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-15ur-intel-celeron-4-gb-ozu-156-id-50777519,16 000 KGS
Б/у,Acer,aspire,Intel Celeron,2,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Acer aspire, Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-aspire-intel-celeron-2-gb-ozu-156-id-55672268,15 000 KGS
Б/у,Другой бренд ноутбука,,,6,,,15.6,2K (2880х1800),,,Ноутбук,Игровой,HDD + SSD,,Windows,,,Самовывоз,Куплю игровой ноутбук для себя. Процессор от i5 9 серии и выше. SSD от,https://lalafo.kg/bishkek/ads/kuplu-igrovoj-noutbuk-dla-seba-processor-ot-i5-9-serii-i-vyse-ssd-ot-id-76819816,50 000 KGS
На запчасти,Lenovo,S10-3c,Intel Atom,до 2,1.5 - 1.9 ГГц,До 2,13.1,2K (2880х1800),Другой тип матрицы,Другая видеокарта,Нетбук,Для несложных задач,Другой тип накопителя,до 128 ГБ,Windows,Черный,4000 - 5000 мАч,Самовывоз,"Lenovo S10-3c, Intel Atom, до 2 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/lenovo-s10-3c-intel-atom-do-2-gb-ozu-131-id-92399842,2 000 KGS
Б/у,Lenovo,t470,Intel Core i7,16,2.5 - 2.9 ГГц,,14,Full HD (1920x1080),IPS,,Ультрабук,Для несложных задач,SSD,256 ГБ,Windows,Черный,,Самовывоз,"Lenovo t470, Intel Core i7, 16 ГБ ОЗУ, 14 """,https://lalafo.kg/osh/ads/lenovo-t470-intel-core-i7-16-gb-ozu-14-id-92426991,40 000 KGS
Новый,Другой бренд ноутбука,,,,,,,,,,,,,,,,,Самовывоз,"Сверло по металлу, длинные, диаметр 4, 5, 6",https://lalafo.kg/bishkek/ads/sverlo-po-metallu-dlinnye-diametr-4-5-6-id-91804606,50 KGS
Б/у,Apple,A1398,Intel Core i7,16,2.0 - 2.4 ГГц,4,15.4,2K (2880х1800),AMOLED,Другая видеокарта,Ноутбук,Игровой,SSD,512 ГБ,Mac OS,Серебристый,Более 7000 мАч,Самовывоз,"Apple A1398, Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/apple-a1398-intel-core-i7-16-gb-ozu-154-id-71299324,500 USD
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Asus,,,до 2,,,,,,,Ноутбук,"Для работы, учебы",,,Windows,Серебристый,,Платная доставка,Asus до 2 ГБ ОЗУ,https://lalafo.kg/bishkek/ads/asus-do-2-gb-ozu-id-96441246,8 000 KGS
